Tm,BAL19,BOS19,NYY19,TBR19,TOR19,CHW19,CLE19,DET19,KCR19,MIN19,HOU19,LAA19,OAK19,SEA19,TEX19
BAL19,--,7,2,7,8,3,3,3,3,0,2,4,1,3,1
BOS19,12,--,5,7,11,5,3,5,5,3,2,4,4,4,4
NYY19,17,14,--,12,11,3,3,3,5,4,3,5,2,6,3
TBR19,12,12,7,--,13,4,6,4,4,2,4,4,3,4,3
TOR19,11,8,8,6,--,3,1,4,6,3,2,1,6,2,3
CHW19,3,2,4,2,4,--,11,12,9,6,4,2,1,2,4
CLE19,4,3,4,1,6,8,--,18,12,10,3,6,1,5,4
DET19,4,2,3,2,3,6,1,--,10,5,1,3,1,1,0
KCR19,3,1,2,3,1,10,7,9,--,5,1,2,2,2,2
MIN19,6,3,2,5,4,13,9,14,14,--,4,5,3,5,6
HOU19,4,4,4,3,4,3,4,6,5,3,--,14,11,18,13
LAA19,3,3,2,3,6,5,0,3,4,1,5,--,6,10,9
OAK19,6,3,4,4,0,5,5,6,5,4,8,13,--,10,13
SEA19,4,3,1,2,4,4,1,6,5,2,1,9,9,--,8
TEX19,6,3,3,3,3,3,3,6,5,1,6,10,6,11,--
